t,G1,G2,G3,G4
0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0
48.0,5.118954105844955e-11,0.0,0.0,0.0
60.0,3.377151095974673e-10,0.0,0.0,0.0
72.0,1.2531065080096392e-9,0.0,0.0,0.0
84.0,3.4333508734161905e-9,0.0,0.0,0.0
96.0,7.720928306700284e-9,0.0,0.0,0.0
108.0,1.5056989389530104e-8,0.0,0.0,0.0
120.0,2.6324539664284707e-8,0.0,0.0,0.0
132.0,4.2184994253425384e-8,0.0,0.0,0.0
144.0,6.295654420575373e-8,0.0,0.0,0.0
156.0,8.85725100144006e-8,0.0,0.0,0.0
168.0,1.1863379388289706e-7,0.0,0.0,0.0
180.0,1.5253907325631234e-7,0.0,0.0,0.0
192.0,1.8964948566627254e-7,0.0,0.0,0.0
204.0,2.2943061390623413e-7,0.0,0.0,0.0
216.0,2.7151923095503393e-7,0.0,0.0,0.0
228.0,3.1568536039169323e-7,0.0,0.0,0.0
240.0,3.6169553718594965e-7,0.0,0.0,0.0
252.0,4.0912007358605336e-7,0.0,0.0,0.0
264.0,4.571536901742535e-7,0.0,0.0,0.0
276.0,5.045254757744258e-7,0.0,0.0,0.0
288.0,5.495567075251872e-7,0.0,0.0,0.0
300.0,5.903866250843491e-7,0.0,0.0,0.0
312.0,6.253364994093467e-7,0.0,0.0,0.0
324.0,6.533351403655491e-7,0.0,0.0,0.0
336.0,6.74298569105916e-7,0.0,0.0,0.0
348.0,6.893533757929994e-7,0.0,0.0,0.0
360.0,7.008206993452936e-7,0.0,0.0,0.0
372.0,7.119308004434054e-7,0.0,0.0,0.0
384.0,7.263043707149058e-7,0.0,0.0,0.0
396.0,7.472991414886605e-7,0.0,0.0,0.0
408.0,7.773621532345481e-7,0.0,0.0,0.0
420.0,8.175369611151713e-7,0.0,0.0,0.0
432.0,8.672469389964376e-7,0.0,0.0,0.0
444.0,9.244161055453045e-7,8.28669530264851e-48,0.0,0.0
456.0,9.85911388686684e-7,5.539971063044998e-46,0.0,0.0
468.0,1.0482139035943712e-6,1.8726704793820983e-44,0.0,0.0
480.0,1.1081708478159105e-6,4.266787543276838e-43,0.0,0.0
492.0,1.163658498912633e-6,7.370557460800505e-42,0.0,0.0
504.0,1.2140064536798762e-6,1.029464465406895e-40,0.0,0.0
516.0,1.2600893559660549e-6,1.2108436301029217e-39,0.0,0.0
528.0,1.3040713397476087e-6,1.2333658178619346e-38,0.0,0.0
540.0,1.3488708037909051e-6,1.1104691347205971e-37,0.0,0.0
552.0,1.3974785279060094e-6,8.976388797753147e-37,0.0,0.0
564.0,1.4522943935502378e-6,6.59484282833998e-36,0.0,0.0
576.0,1.5146393220363945e-6,4.4474721998170485e-35,0.0,0.0
588.0,1.5845520803301792e-6,2.775665956171711e-34,0.0,0.0
600.0,1.6609075654322507e-6,1.6140955531503596e-33,0.0,0.0
612.0,1.741812770563762e-6,8.796595634390746e-33,0.0,0.0
624.0,1.8251692067848254e-6,4.5152726162625724e-32,0.0,0.0
636.0,1.90925287084388e-6,2.1923617107813656e-31,0.0,0.0
648.0,1.993163850038092e-6,1.0107430276237493e-30,0.0,0.0
660.0,2.077036246431996e-6,4.439333665645474e-30,0.0,0.0
672.0,2.1619645834992664e-6,1.8630724798608963e-29,0.0,0.0
684.0,2.249677808997796e-6,7.490768640900992e-29,0.0,0.0
696.0,2.3420568891605972e-6,2.8922835875116027e-28,0.0,0.0
708.0,2.440630226638442e-6,1.0747469781408259e-27,0.0,0.0
720.0,2.546183365378745e-6,3.850957863909252e-27,0.0,0.0
732.0,2.658585832164214e-6,1.332905116840399e-26,0.0,0.0
744.0,2.7768779968381127e-6,4.463773908557975e-26,0.0,0.0
756.0,2.899590705830106e-6,1.448517806344819e-25,0.0,0.0
768.0,3.025208724947924e-6,4.560985828028585e-25,0.0,0.0
780.0,3.152651776575948e-6,1.3952608707983298e-24,0.0,0.0
792.0,3.2816435701196234e-6,4.151656495475012e-24,0.0,0.0
804.0,3.4128700882426566e-6,1.2028940347942516e-23,0.0,0.0
816.0,3.5478849204824207e-6,3.397119060663705e-23,0.0,0.0
828.0,3.6887864581340637e-6,9.360070287953244e-23,0.0,0.0
840.0,3.837751585456218e-6,2.518330556371682e-22,0.0,0.0
852.0,3.9965475644858275e-6,6.621666146572699e-22,9.3516019733456e-83,0.0
864.0,4.166148720335888e-6,1.702847915514508e-21,1.185180957271873e-80,0.0
876.0,4.3465564168533005e-6,4.285988530124614e-21,7.552955729199481e-79,0.0
888.0,4.536867412048443e-6,1.0565410115677624e-20,3.2270190617452835e-77,0.0
900.0,4.735571209465987e-6,2.5524558486655e-20,1.0398512221671728e-75,0.0
912.0,4.940998354434961e-6,6.046819190504711e-20,2.6954744144512875e-74,0.0
924.0,5.151803876669561e-6,1.405523769368594e-19,5.854679352396655e-73,0.0
936.0,5.3673626995819895e-6,3.207183766226015e-19,1.0959492031552156e-71,0.0
948.0,5.587978237892762e-6,7.187920622437074e-19,1.8048175468011945e-70,0.0
960.0,5.814854740460732e-6,1.58301156005793e-18,2.6561508986099905e-69,0.0
972.0,6.049845015686394e-6,3.4273857428878284e-18,3.5369228380447425e-68,0.0
984.0,6.295042016970923e-6,7.29838054127956e-18,4.3042618089151665e-67,0.0
996.0,6.552320797464132e-6,1.5291556179111346e-17,4.826790253786293e-66,0.0
1008.0,6.8229471854501395e-6,3.1536006769595605e-17,5.02242871392817e-65,0.0
1020.0,7.1073493335345e-6,6.404001364643184e-17,4.8778100105616824e-64,0.0
1032.0,7.405104061255179e-6,1.2809668946020603e-16,4.4442257509754256e-63,0.0
1044.0,7.71513375637874e-6,2.5247066735112983e-16,3.81544417961825e-62,0.0
1056.0,8.036056428677429e-6,4.904653794195111e-16,3.098524773418045e-61,2.4858932525702123e-111
1068.0,8.366595027264744e-6,9.39423860127459e-16,2.388441420181572e-60,4.0257170657251864e-109
1080.0,8.705941265004503e-6,1.7745812782460736e-15,1.7528718417424078e-59,3.2753651964154636e-107
1092.0,9.053985858945946e-6,3.3069740695731705e-15,1.2281467836842404e-58,1.785074730982561e-105
1104.0,9.411365895072579e-6,6.081074368711345e-15,8.235426345825232e-58,7.331142969678904e-104
1116.0,9.779329895894725e-6,1.1037058560290972e-14,5.296972888785868e-57,2.42002786688519e-102
1128.0,1.0159468507838438e-5,1.9776701626371023e-14,3.2745972703027395e-56,6.688325572619175e-101
1140.0,1.0553391105561656e-5,3.499300039852406e-14,1.9493186330609946e-55,1.5917820766774229e-99
1152.0,1.096243806953815e-5,6.115475223909175e-14,1.119288188990403e-54,3.3301233316838735e-98
1164.0,1.1387503512336683e-5,1.0558242840368813e-13,6.208911219434123e-54,6.22119177001523e-97
1176.0,1.1829008906231658e-5,1.8011595279144947e-13,3.332202267479064e-53,1.0507641085481186e-95
1188.0,1.2287024493532744e-5,3.036649604736444e-13,1.7324908072009706e-52,1.620716148656405e-94
1200.0,1.2761494713493717e-5,5.060557669314228e-13,8.737230406123883e-52,2.3018125250010183e-93
1212.0,1.3252497036434943e-5,8.337560698473576e-13,4.278997508537282e-51,3.031152824845253e-92
1224.0,1.3760457256598481e-5,1.358278978267036e-12,2.037248649730726e-50,3.722934075334836e-91
1236.0,1.4286259339360772e-5,2.188353632410356e-12,9.43881833870127e-50,4.28658446857776e-90
1248.0,1.4831219408680285e-5,3.487311463855719e-12,4.259640149419199e-49,4.647378223852983e-89
1260.0,1.5396932221469604e-5,5.497584294423005e-12,1.874108707441188e-48,4.7628040927948703e-88
1272.0,1.5985033746133692e-5,8.574748328335476e-12,8.045352758408952e-48,4.6298684464717685e-87
1284.0,1.6596945858354346e-5,1.3234175282167221e-11,3.372598487172556e-47,4.282094400734134e-86
1296.0,1.72336731363794e-5,2.0214056803563145e-11,1.381576332204236e-46,3.778489571818948e-85
1308.0,1.7895706875738892e-5,3.055932496413371e-11,5.53451407724267e-46,3.1888191192191086e-84
1320.0,1.8583062369197495e-5,4.5731755118457064e-11,2.1695304859165334e-45,2.5796774255822956e-83
1332.0,1.929544040232973e-5,6.775223962646523e-11,8.327330556678322e-45,2.004524674288981e-82
1344.0,2.0032472229693636e-5,9.938176655984903e-11,3.1315385186029445e-44,1.498918946509782e-81
1356.0,2.079398715030626e-5,1.4434790186139952e-10,1.154427691775052e-43,1.080460473904084e-80
1368.0,2.158023794675795e-5,2.076234025884177e-10,4.17412812557213e-43,7.519479151607434e-80
1380.0,2.239203218141926e-5,2.957628035545665e-10,1.4810737017512856e-42,5.059953507471217e-79
1392.0,2.3230742623080413e-5,4.173012238540809e-10,5.159536980426013e-42,3.296630442040895e-78
1404.0,2.4098200810883772e-5,5.83217035097876e-10,1.765507110811713e-41,2.0821034742778142e-77
1416.0,2.499650578602803e-5,8.0745624009193e-10,5.936702099209691e-41,1.2762874632871213e-76
1428.0,2.5927798286133392e-5,1.1075112957520322e-9,1.9625551585441223e-40,7.601177949980015e-76
1440.0,2.689405505581588e-5,1.5050406234448183e-9,6.380798879944304e-40,4.4029219336436574e-75
1452.0,2.7896948086104316e-5,2.026507246656082e-9,2.04114094626977e-39,2.4828044252035767e-74
1464.0,2.8937793014164952e-5,2.703806097743855e-9,6.426533382814776e-39,1.3641872437927138e-73
1476.0,3.0017585724271687e-5,3.5748399495767536e-9,1.9922359096957933e-38,7.309722200627754e-73
1488.0,3.113710344792759e-5,4.683994275398604e-9,6.082933453417029e-38,3.8226765716449874e-72
1500.0,3.2297032417587745e-5,6.082452466160974e-9,1.8299355822501007e-37,1.952536066266261e-71
1512.0,3.349808182945348e-5,7.828285794030682e-9,5.425571350087979e-37,9.747710929103931e-71
1524.0,3.4741053495996795e-5,9.986248527540187e-9,1.5858908133435467e-36,4.759585412086136e-70
1536.0,3.6026854732828714e-5,1.262720899526603e-8,4.571359374294987e-36,2.274438531266306e-69
1548.0,3.7356462993842334e-5,1.5827153462332797e-8,1.2998196521800328e-35,1.0643379505873646e-68
1560.0,3.873086811232909e-5,1.966571257060751e-8,3.646727694683176e-35,4.880157305206455e-68
1572.0,4.0151026428017776e-5,2.4224180616601558e-8,1.0097610691341815e-34,2.1936816823766648e-67
1584.0,4.161785793322854e-5,2.958302641208919e-8,2.760180122386994e-34,9.672177400019674e-67
1596.0,4.313230363343485e-5,3.581893052084163e-8,7.450137965691918e-34,4.185049675315333e-66
1608.0,4.4695439610178485e-5,4.300142609022466e-8,1.986095707839017e-33,1.7779018341264776e-65
1620.0,4.6308622960251104e-5,5.11892671722687e-8,5.2304896524392054e-33,7.41893666341878e-65
1632.0,4.797362943541922e-5,6.042669628431051e-8,1.3610836835639216e-32,3.042213114215413e-64
1644.0,4.969273830989667e-5,7.07398280604862e-8,3.500405808916084e-32,1.2263968217076966e-63
1656.0,5.146872884076742e-5,8.213340359187854e-8,8.898786142440329e-32,4.862253447519247e-63
1668.0,5.330477302045869e-5,9.458819549514968e-8,2.2366948637475595e-31,1.8965926134665288e-62
1680.0,5.520423610535091e-5,1.0805935201618281e-7,5.559404815883346e-31,7.281123834562323e-62
1692.0,5.7170422481359924e-5,1.224759552904619e-7,1.3667049185356274e-30,2.7520885621243798e-61
1704.0,5.920632245589158e-5,1.3774203112645823e-7,3.32370799733518e-30,1.0244996354245658e-60
1716.0,6.131442007891023e-5,1.5373918394385795e-7,7.997364689196421e-30,3.7573946273971915e-60
1728.0,6.349661110007933e-5,1.7033094156755582e-7,1.9042273733546465e-29,1.3580704373669146e-59
1740.0,6.575425582741526e-5,1.8736878376050956e-7,4.487539037759976e-29,4.83891656482211e-59
1752.0,6.808835983576338e-5,2.0469970163691848e-7,1.046845775252816e-28,1.7001586247669238e-58
1764.0,7.04998442665735e-5,2.221750009121385e-7,2.4177289444485485e-28,5.892055593428713e-58
1776.0,7.298984502350122e-5,2.396599308845704e-7,5.5289970753228085e-28,2.0146362792789505e-57
1788.0,7.555997252246672e-5,2.570436050358998e-7,1.2521617488921112e-27,6.798156576044532e-57
1800.0,7.821247301388539e-5,2.742485904814294e-7,2.808726478875465e-27,2.264429426639105e-56
1812.0,8.095025661196458e-5,2.912394936976683e-7,6.240957734957861e-27,7.447393028937265e-56
1824.0,8.377678989027444e-5,3.0802986842172144e-7,1.373858244179371e-26,2.4189609655577557e-55
1836.0,8.669588380479773e-5,3.246868244772924e-7,2.9966495055191885e-26,7.761228353990782e-55
1848.0,8.97114323304629e-5,3.4133282531163367e-7,6.477183063281172e-26,2.460389202146327e-54
1860.0,9.282716732583382e-5,3.5814432393858034e-7,1.3875348438853105e-25,7.707980621353009e-54
1872.0,9.604648843709385e-5,3.7534709314724903e-7,2.9461777606158484e-25,2.3868749805580032e-53
1884.0,9.937240544517904e-5,3.932083425399383e-7,6.201256513028049e-25,7.307301458286649e-53
