t,psi_truth,psi_recovered
0.0,8.137210727905412e-7,1.0888600376845637e-5
12.0,8.503585200929224e-7,-0.0001141920374255544
24.0,8.885802737861118e-7,-0.00023937554167908896
36.0,9.284518032935602e-7,-0.0003647602770607818
48.0,9.700411465026164e-7,-0.0004904410911565837
60.0,1.0134190045744482e-6,-0.0006165102015948849
72.0,1.0586588400044007e-6,-0.0007430579406823739
84.0,1.1058369780343382e-6,-0.0008701733437102224
96.0,1.1550327115210419e-6,-0.0009979444890435313
108.0,1.2063284093678148e-6,-0.0011264588675111288
120.0,1.2598096286291345e-6,-0.00125580369606165
132.0,1.315565230401301e-6,-0.001386066219469758
144.0,1.3736874996150198e-6,-0.0015173340312773969
156.0,1.4342722688488777e-6,-0.0016496952023825344
168.0,1.4974190462860046e-6,-0.0017832386525545802
180.0,1.5632311479391873e-6,-0.0019180545185587057
192.0,1.6318158342732427e-6,-0.002054234471289109
204.0,1.703284451356682e-6,-0.0021918719281075177
216.0,1.777752576678106e-6,-0.0023310623256396308
228.0,1.8553401697664068e-6,-0.0024719029902075832
240.0,1.9361717277572435e-6,-0.002614492780641938
252.0,2.0203764460520155e-6,-0.002758931499952114
264.0,2.1080883842192926e-6,-0.002905319090607946
276.0,2.1994466372922985e-6,-0.0030537546424039947
288.0,2.2945955126200707e-6,-0.0032043352505750507
300.0,2.3936847124336674e-6,-0.0033571547649496867
312.0,2.496869522293052e-6,-0.003512302469648519
324.0,2.6043110055840256e-6,-0.0036698617291422674
336.0,2.7161762042390048e-6,-0.003829908632574142
348.0,2.832638345859592e-6,-0.003992510665930672
360.0,2.9538770574230492e-6,-0.004157725441868976
372.0,3.0800785857594083e-6,-0.00432559951966051
384.0,3.2114360249901892e-6,-0.004496167351657912
396.0,3.3481495511242644e-6,-0.0046694503961041195
408.0,3.4904266640112213e-6,-0.0048454564369472
420.0,3.6384824368568642e-6,-0.005024179147916245
432.0,3.792539773510715e-6,-0.0052055979295858685
444.0,3.952829673739765e-6,-0.005389678034754756
456.0,4.119591506707923e-6,-0.005576370980565275
468.0,4.293073292885669e-6,-0.005765615227688778
480.0,4.473531994619026e-6,-0.005957337090335437
492.0,4.6612338155927535e-6,-0.0061514518284566805
504.0,4.856454509427205e-6,-0.006347864867247152
516.0,5.059479697654355e-6,-0.006546473089766353
528.0,5.270605197322936e-6,-0.006747166155693435
540.0,5.490137358488961e-6,-0.00694982781112486
552.0,5.718393411852951e-6,-0.0071543371681827665
564.0,5.955701826810677e-6,-0.00736056994584057
576.0,6.2024026801904305e-6,-0.0075683996718048365
588.0,6.458848035954833e-6,-0.007777698847341235
600.0,6.7254023361516655e-6,-0.007988340071713318
612.0,7.002442803403861e-6,-0.008200197111071023
624.0,7.290359855234286e-6,-0.008413145880340983
636.0,7.58955753052801e-6,-0.008627065289277053
648.0,7.900453928439601e-6,-0.008841837889294187
660.0,8.223481660060073e-6,-0.009057350249928224
672.0,8.559088313164054e-6,-0.009273492995838042
684.0,8.907736930363554e-6,-0.009490160448893557
696.0,9.269906501002193e-6,-0.009707249844953792
708.0,9.646092467128518e-6,-0.009924660129402125
720.0,1.00368072438951e-5,-0.010142290375617369
732.0,1.0442580754735708e-5,-0.010360037911354012
744.0,1.0863960981679351e-5,-0.010577796274011621
756.0,1.130151453116748e-5,-0.01079545314185067
768.0,1.175582721574581e-5,-0.01101288840033951
780.0,1.2227504652010813e-5,-0.01122997249875684
792.0,1.2717172875196003e-5,-0.01144656523184694
804.0,1.3225478970790745e-5,-0.011662515046881768
816.0,1.375309172359132e-5,-0.011877658932009715
828.0,1.4300702284590243e-5,-0.012091822892706872
840.0,1.4869024856117284e-5,-0.012304822975471735
852.0,1.545879739565214e-5,-0.012516466757261212
864.0,1.6070782338735875e-5,-0.012726555190013958
876.0,1.6705767341415577e-5,-0.012934884674592336
888.0,1.7364566042662576e-5,-0.013141249238082577
900.0,1.8048018847213074e-5,-0.013345442700981008
912.0,1.8756993729285868e-5,-0.013547260742934409
924.0,1.9492387057638723e-5,-0.01374650280285897
936.0,2.0255124442434264e-5,-0.013942973776592312
948.0,2.1046161604389e-5,-0.014136485498452431
960.0,2.1866485266691187e-5,-0.014326858009153719
972.0,2.2717114070175312e-5,-0.014513920620164461
984.0,2.3599099512252444e-5,-0.01469751278433749
996.0,2.4513526910098778e-5,-0.014877484776675018
1008.0,2.546151638861385e-5,-0.015053698180672995
1020.0,2.6444223893667274e-5,-0.015226026168462782
1032.0,2.7462842231156588e-5,-0.01539435356012644
1044.0,2.851860213240975e-5,-0.015558576651210522
1056.0,2.9612773346468932e-5,-0.01571860280812975
1068.0,3.0746665759800906e-5,-0.015874349847663418
1080.0,3.1921630543986336e-5,-0.01602574523645407
1092.0,3.3139061331943616e-5,-0.016172725165683813
1104.0,3.44003954232545e-5,-0.016315233571048457
1116.0,3.5707115019160106e-5,-0.016453221175393926
1128.0,3.706074848780433e-5,-0.0165866446287641
1140.0,3.84628716603098e-5,-0.016715465807606907
1152.0,3.9915109158272055e-5,-0.016839651312795356
1164.0,4.141913575327065e-5,-0.016959172177840588
1176.0,4.297667775899489e-5,-0.017074003768235403
1188.0,4.458951445659166e-5,-0.01718412582474296
1200.0,4.625947955384857e-5,-0.017289522581794895
1212.0,4.798846267882651e-5,-0.01739018288015669
