t,psi
0.0,8.137210727905412e-7
12.0,8.503585200929224e-7
24.0,8.885802737861118e-7
36.0,9.284518032935602e-7
48.0,9.700411465026164e-7
60.0,1.0134190045744482e-6
72.0,1.0586588400044007e-6
84.0,1.1058369780343382e-6
96.0,1.1550327115210419e-6
108.0,1.2063284093678148e-6
120.0,1.2598096286291345e-6
132.0,1.315565230401301e-6
144.0,1.3736874996150198e-6
156.0,1.4342722688488777e-6
168.0,1.4974190462860046e-6
180.0,1.5632311479391873e-6
192.0,1.6318158342732427e-6
204.0,1.703284451356682e-6
216.0,1.777752576678106e-6
228.0,1.8553401697664068e-6
240.0,1.9361717277572435e-6
252.0,2.0203764460520155e-6
264.0,2.1080883842192926e-6
276.0,2.1994466372922985e-6
288.0,2.2945955126200707e-6
300.0,2.3936847124336674e-6
312.0,2.496869522293052e-6
324.0,2.6043110055840256e-6
336.0,2.7161762042390048e-6
348.0,2.832638345859592e-6
360.0,2.9538770574230492e-6
372.0,3.0800785857594083e-6
384.0,3.2114360249901892e-6
396.0,3.3481495511242644e-6
408.0,3.4904266640112213e-6
420.0,3.6384824368568642e-6
432.0,3.792539773510715e-6
444.0,3.952829673739765e-6
456.0,4.119591506707923e-6
468.0,4.293073292885669e-6
480.0,4.473531994619026e-6
492.0,4.6612338155927535e-6
504.0,4.856454509427205e-6
516.0,5.059479697654355e-6
528.0,5.270605197322936e-6
540.0,5.490137358488961e-6
552.0,5.718393411852951e-6
564.0,5.955701826810677e-6
576.0,6.2024026801904305e-6
588.0,6.458848035954833e-6
600.0,6.7254023361516655e-6
612.0,7.002442803403861e-6
624.0,7.290359855234286e-6
636.0,7.58955753052801e-6
648.0,7.900453928439601e-6
660.0,8.223481660060073e-6
672.0,8.559088313164054e-6
684.0,8.907736930363554e-6
696.0,9.269906501002193e-6
708.0,9.646092467128518e-6
720.0,1.00368072438951e-5
732.0,1.0442580754735708e-5
744.0,1.0863960981679351e-5
756.0,1.130151453116748e-5
768.0,1.175582721574581e-5
780.0,1.2227504652010813e-5
792.0,1.2717172875196003e-5
804.0,1.3225478970790745e-5
816.0,1.375309172359132e-5
828.0,1.4300702284590243e-5
840.0,1.4869024856117284e-5
852.0,1.545879739565214e-5
864.0,1.6070782338735875e-5
876.0,1.6705767341415577e-5
888.0,1.7364566042662576e-5
900.0,1.8048018847213074e-5
912.0,1.8756993729285868e-5
924.0,1.9492387057638723e-5
936.0,2.0255124442434264e-5
948.0,2.1046161604389e-5
960.0,2.1866485266691187e-5
972.0,2.2717114070175312e-5
984.0,2.3599099512252444e-5
996.0,2.4513526910098778e-5
1008.0,2.546151638861385e-5
1020.0,2.6444223893667274e-5
1032.0,2.7462842231156588e-5
1044.0,2.851860213240975e-5
1056.0,2.9612773346468932e-5
1068.0,3.0746665759800906e-5
1080.0,3.1921630543986336e-5
1092.0,3.3139061331943616e-5
1104.0,3.44003954232545e-5
1116.0,3.5707115019160106e-5
1128.0,3.706074848780433e-5
1140.0,3.84628716603098e-5
1152.0,3.9915109158272055e-5
1164.0,4.141913575327065e-5
1176.0,4.297667775899489e-5
1188.0,4.458951445659166e-5
1200.0,4.625947955384857e-5
1212.0,4.798846267882651e-5
1224.0,4.977841090856712e-5
1236.0,5.163133033349955e-5
1248.0,5.3549287658180965e-5
1260.0,5.55344118390059e-5
1272.0,5.758889575952461e-5
1284.0,5.971499794401862e-5
1296.0,6.191504430997812e-5
1308.0,6.419142996013832e-5
1320.0,6.65466210147268e-5
1332.0,6.89831564845826e-5
1344.0,7.150365018581167e-5
1356.0,7.411079269663695e-5
1368.0,7.680735335711771e-5
1380.0,7.95961823124003e-5
1392.0,8.248021260017391e-5
1404.0,8.546246228300403e-5
1416.0,8.854603662621239e-5
1428.0,9.173413032198133e-5
1440.0,9.503002976035099e-5
1452.0,9.8437115347788e-5
1464.0,0.00010195886387399187
1476.0,0.00010559885092761513
1488.0,0.00010936075336156748
1500.0,0.00011324835180856566
1512.0,0.00011726553324760429
1524.0,0.00012141629362200139
1536.0,0.00012570474050968108
1548.0,0.00013013509584635323
1560.0,0.0001347116987022312
1572.0,0.0001394390081129436
1584.0,0.00014432160596527293
1596.0,0.00014936419993835795
1608.0,0.0001545716265009909
1620.0,0.00015994885396561847
1632.0,0.00016550098559967507
1644.0,0.00017123326279483374
1656.0,0.0001771510682947854
1668.0,0.0001832599294821171
1680.0,0.00018956552172487055
1692.0,0.0001960736717833431
1704.0,0.0002027903612776743
1716.0,0.0002097217302167659
1728.0,0.00021687408058904806
1740.0,0.0002242538800156065
1752.0,0.0002318677654661679
1764.0,0.00023972254703841003
1776.0,0.00024782521180107393
1788.0,0.0002561829277013062
1800.0,0.0002648030475366631
1812.0,0.00027369311299218785
1824.0,0.00028286085874293084
1836.0,0.00029231421662229536
1848.0,0.0003020613198565357
1860.0,0.0003121105073657283
1872.0,0.00032247032813152536
1884.0,0.00033314954563193425
1896.0,0.0003441571423433943
1908.0,0.00035550232431034035
1920.0,0.0003671945257824667
1932.0,0.00037924341391983154
