time_hours,T_1.0m,T_4.0m,T_8.0m,T_12.0m,T_14.0m
0.000,28.4457,28.2827,27.2086,26.1367,26.0935
1.000,27.8891,27.6864,27.2691,26.5359,26.1455
2.000,27.5239,27.4282,27.1574,26.4306,26.1540
3.000,27.3051,27.1703,26.8978,26.4154,26.0615
4.000,27.0015,27.0050,26.7250,26.3431,26.1168
5.000,26.9393,26.8329,26.6592,26.2841,26.0534
6.000,26.7562,26.7689,26.5386,26.2745,25.9699
7.000,26.6597,26.5843,26.4876,26.2505,25.9643
8.000,26.4580,26.4910,26.3249,26.0624,26.0465
9.000,26.3561,26.3539,26.2746,26.1479,26.0105
10.000,26.2954,26.3850,26.2371,26.0665,26.0121
11.000,26.2187,26.2441,26.1778,26.1275,26.0824
12.000,26.2425,26.1750,26.2650,26.1472,26.0747
13.000,26.0490,26.0401,26.2026,26.0220,26.0335
14.000,26.0628,26.1396,26.0387,26.0020,26.0265
15.000,26.1113,25.9242,26.0377,25.9997,25.9302
16.000,25.9645,26.0762,26.0343,25.9844,26.0749
17.000,25.9277,26.0615,25.9631,26.0461,26.0666
18.000,26.0115,25.9417,26.1392,26.0560,25.9927
19.000,26.0356,26.0080,26.0453,25.8790,26.0294
20.000,25.9844,25.9624,26.0249,25.9532,26.0225
21.000,26.0921,26.0987,26.1030,25.9685,25.8870
22.000,26.1312,26.0900,26.0968,26.0934,25.9717
23.000,26.1452,26.2055,25.9988,26.0658,26.0315
24.000,26.1057,26.0820,26.1375,25.9842,25.9025
25.000,26.1251,26.1066,26.0404,25.9983,25.9810
26.000,26.0820,26.0567,26.0099,26.0462,26.1153
27.000,26.0662,26.0784,26.0558,25.9969,26.0285
28.000,26.1288,26.1174,26.0104,26.0105,26.0084
29.000,26.0320,26.1007,26.0338,26.1063,26.0329
30.000,25.9623,26.0832,25.9968,26.0492,25.9920
31.000,26.0185,26.0742,25.9850,26.0228,25.8814
32.000,26.0403,25.9643,25.9921,25.9977,26.0483
33.000,25.9983,26.0005,26.0275,26.0627,25.9795
34.000,25.9404,25.9544,26.0508,26.0554,25.9894
35.000,25.9594,26.0884,26.0873,25.9770,26.0147
36.000,25.9736,25.9035,25.9555,26.0560,25.8883
37.000,25.9203,25.9498,25.9967,26.0525,25.9390
38.000,25.9668,25.9039,25.9319,26.0306,25.9893
39.000,25.8899,26.0200,25.9041,25.9228,25.9458
40.000,25.9319,25.8266,25.9454,26.0376,25.9711
41.000,25.7803,25.9655,26.0108,25.9775,26.1000
42.000,25.9793,25.9854,25.9797,26.0418,25.9941
43.000,25.8307,26.0056,25.9814,25.9997,26.0152
44.000,26.0117,25.9206,25.9023,25.9108,25.9926
45.000,25.9813,26.0489,26.0017,26.0210,25.9772
46.000,26.0472,25.9877,25.9542,25.9573,26.0711
47.000,26.1404,25.9796,26.0245,25.9624,26.0431
48.000,26.1294,26.1460,26.0684,26.0449,26.0281
49.000,26.0746,26.0648,26.0285,26.1075,25.9344
50.000,26.0878,26.0539,26.0401,26.0270,25.9995
51.000,26.0519,26.0599,26.1014,26.0053,26.0818
52.000,26.0466,26.2309,26.1471,26.0466,25.9884
53.000,26.0453,26.1314,26.0877,26.0368,26.0929
54.000,26.0675,26.0430,26.0853,25.9871,25.9258
55.000,26.0850,26.0609,25.9207,26.0583,25.9478
56.000,26.0125,26.0750,25.9456,26.0250,26.0170
57.000,26.1005,26.1586,26.0594,26.0133,26.0367
58.000,26.0329,26.0184,25.9216,26.0388,25.9374
59.000,25.8624,26.0074,25.9757,25.9201,25.9849
60.000,25.9180,26.0080,25.9934,25.9933,25.9751
61.000,25.9661,25.9596,26.0641,26.0189,26.0116
62.000,25.8920,26.0279,26.0247,25.9667,26.0477
63.000,25.9637,25.9348,25.9178,25.9651,26.0538
64.000,25.8204,25.9003,25.9477,25.9398,25.9855
65.000,25.9761,25.9401,25.9783,25.9960,25.9571
66.000,25.9285,25.8121,25.8955,25.9830,26.0225
67.000,25.9161,26.0213,26.0952,26.0342,25.9676
68.000,25.8775,25.9877,25.9259,26.0201,25.9110
69.000,26.0956,25.9878,25.9649,26.0010,25.9206
70.000,25.9862,26.0981,26.1098,25.9597,26.0381
71.000,26.0591,26.0602,26.0934,26.0569,26.0090
72.000,26.0635,26.0838,26.0740,26.1112,25.9937
73.000,26.0042,26.1256,25.9393,26.0918,26.0146
74.000,26.0982,26.1727,26.0506,26.0393,25.9398
75.000,26.0408,26.0007,26.1517,26.0885,25.9916
76.000,26.0415,26.1279,26.1071,25.9692,25.9283
77.000,26.0076,26.0900,26.0994,26.0156,25.9367
78.000,26.1004,26.1106,26.0364,26.0617,26.0209
79.000,26.0743,26.0549,26.2075,26.0484,26.0029
80.000,25.9352,26.0746,26.0214,26.0071,25.9957
81.000,26.0310,26.0313,26.0639,26.0483,26.0172
82.000,26.0402,26.0341,25.9120,25.8823,25.9813
83.000,25.9766,25.9547,26.1142,25.9271,26.0177
84.000,26.0178,25.9643,26.0243,25.9881,25.9990
85.000,25.9259,25.9065,25.9818,26.0096,26.0356
86.000,25.9158,25.9979,26.0222,26.0150,25.9734
87.000,25.8930,25.8986,25.9260,25.9695,25.9491
88.000,25.9056,25.9058,26.0206,25.9620,25.9655
89.000,25.9155,26.0262,26.0401,26.0218,25.9441
90.000,25.8148,25.9653,25.9259,25.9475,26.0146
91.000,25.9294,25.9210,25.9794,25.9363,26.0554
92.000,26.0177,25.9848,25.9677,25.9604,25.9922
93.000,25.9737,26.0128,25.9551,25.9809,26.0854
94.000,25.9886,25.9731,25.9590,25.9722,25.9859
95.000,26.0035,26.0216,25.9911,26.0312,26.0427
96.000,26.0356,26.0877,25.9983,26.1168,26.0251
97.000,26.1197,26.0498,26.0763,25.9612,26.0604
98.000,26.0795,26.1011,26.1336,26.0119,25.9324
99.000,26.1797,26.1068,26.0156,26.0231,26.0528
100.000,26.0865,26.0394,26.0680,26.0254,25.9477
101.000,26.0599,26.1293,26.1557,25.9948,25.9955
102.000,26.0488,26.0723,26.0470,26.0991,26.0582
103.000,25.9957,26.0638,25.9944,25.9875,26.0389
104.000,26.0561,26.0413,26.0209,26.0635,25.9203
105.000,25.9713,26.0106,26.0765,25.9815,25.9348
106.000,26.0373,26.0047,25.9406,26.1766,26.0345
107.000,26.0255,25.9956,26.0634,26.0321,26.0719
108.000,25.9975,25.8346,26.0385,26.0447,25.9987
109.000,25.9243,25.9072,25.9961,26.0084,26.1197
110.000,25.9651,25.9649,26.0212,26.0561,25.9621
111.000,25.8546,25.9682,25.9213,26.0005,26.0236
112.000,25.8282,26.0446,25.9572,25.9866,25.8779
113.000,25.8909,25.9982,25.9842,26.0660,25.9613
114.000,25.9592,25.8975,25.9188,25.9278,26.0124
115.000,25.9130,25.9670,26.0551,25.9656,25.9756
116.000,26.0092,25.9551,26.1025,26.0972,25.9909
117.000,26.0712,25.9883,26.0271,26.0310,25.9942
118.000,26.0906,26.0466,26.0294,26.0597,25.9356
119.000,26.0774,26.0640,26.0149,26.0725,26.0463
120.000,25.9755,26.1206,25.9192,26.0559,26.0271
121.000,26.0408,26.0703,26.0651,26.0661,26.0748
122.000,26.0541,26.0869,26.0598,26.0803,26.0142
123.000,26.0888,26.1756,26.0926,25.9744,25.9815
124.000,26.0087,25.9802,26.0448,25.9592,25.9202
125.000,26.1327,26.0518,26.1256,26.0946,26.0553
126.000,26.1304,26.0970,26.0886,25.9358,25.9706
127.000,26.0546,26.0971,26.0879,26.0381,26.0057
128.000,25.9772,26.0213,26.0094,25.9819,26.0763
129.000,26.0701,26.0627,26.0242,25.9871,25.9694
130.000,26.0637,26.0458,25.9677,26.0486,26.0120
131.000,25.9350,25.9215,25.9823,26.0167,26.0123
132.000,26.0244,26.0189,25.9579,25.9778,25.9688
133.000,25.8870,25.9758,26.0196,26.0377,25.9888
134.000,25.9972,26.0059,25.9243,26.0066,26.0143
135.000,25.9076,25.9193,25.9396,26.0454,25.9951
136.000,25.9006,26.0397,25.9706,26.0631,26.0177
137.000,25.9439,25.9941,25.9577,25.9644,26.0610
138.000,25.9948,25.9431,25.9218,26.0038,26.0082
139.000,25.8877,26.1304,25.9681,26.1091,26.0630
140.000,26.0493,26.0846,26.0716,25.9686,25.9504
141.000,25.9665,26.1002,26.0684,26.0342,26.0047
142.000,26.0164,25.9687,25.9933,26.0491,25.9989
143.000,26.0323,26.1219,25.9721,26.0529,26.0332
144.000,26.0041,26.0143,26.0254,25.9728,25.9334
145.000,26.0448,26.0488,26.0179,25.9745,26.0202
146.000,26.0533,26.0122,26.0975,25.9734,26.0828
147.000,26.0341,26.1504,26.0735,26.0825,26.0420
148.000,25.9973,26.1080,26.0431,26.0300,26.0109
149.000,26.1402,26.1233,26.0335,25.9696,26.0390
150.000,26.0703,26.1074,26.0663,26.1171,26.0164
151.000,26.0066,25.9339,26.0353,26.0282,26.0339
152.000,26.0414,26.0206,26.0172,26.0136,26.0259
153.000,25.9718,26.0677,25.9971,25.8909,25.9916
154.000,25.9250,25.9612,26.0392,26.0091,25.9498
155.000,25.9979,25.9770,26.0600,25.9583,25.9892
156.000,25.9976,25.9188,26.0412,25.9333,26.0238
157.000,25.9775,25.9811,25.9818,26.0256,26.0028
158.000,25.8905,25.9510,25.9402,25.9964,26.0344
159.000,25.8424,25.9209,26.0295,26.0199,25.9612
160.000,25.8882,25.9809,25.9999,25.9958,26.0202
161.000,25.8873,25.9097,25.9830,26.0250,25.9655
162.000,25.9508,25.8880,25.9064,26.0522,26.0864
163.000,25.9361,26.0253,26.0023,26.0557,26.0264
164.000,25.9751,26.0320,26.0073,26.0442,26.0453
165.000,26.0143,25.9975,26.0143,25.9681,26.0602
166.000,26.0200,25.9729,26.0855,25.9294,25.9523
167.000,25.9967,26.0406,26.0808,26.0681,25.9855
168.000,26.0280,26.0626,26.0444,25.9330,26.0794
169.000,26.0234,26.0983,26.0701,26.0142,26.1114
170.000,26.0174,26.0766,26.0806,25.9672,26.0609
171.000,26.0780,26.1023,26.0529,26.0119,26.0627
172.000,26.0940,26.0983,26.0789,26.0519,26.0063
173.000,26.1312,26.1004,25.9986,26.0983,25.9447
174.000,26.1025,26.1248,26.0996,26.1250,25.9890
175.000,26.0867,26.0320,26.0611,26.1211,26.1138
176.000,26.0600,25.9851,26.0323,26.0302,25.9656
177.000,26.0940,25.9814,26.0010,25.9729,26.0131
178.000,25.9746,26.0806,26.0425,25.9807,26.0120
179.000,25.9641,26.0180,25.9599,25.9941,25.9401
180.000,25.9885,25.8975,26.0018,26.0033,26.0269
181.000,25.8317,26.0092,26.0187,26.0346,25.9650
182.000,25.9379,25.9852,25.9553,26.0038,26.0323
183.000,25.9395,25.9444,25.9326,25.9383,25.9089
184.000,25.8698,25.8933,25.9217,25.9976,25.9988
185.000,25.9563,25.8694,26.0233,26.0122,25.9294
186.000,25.9374,25.9192,25.8835,26.0604,26.0252
187.000,26.0465,25.9475,26.0400,26.0385,25.9801
188.000,26.0428,25.9866,26.0458,26.0327,25.9438
189.000,25.9863,25.9878,25.9531,26.0089,26.0287
190.000,25.9895,26.0509,26.0182,26.0379,25.9666
191.000,26.0909,25.9835,26.0051,25.9484,26.0070
192.000,26.1449,26.0748,26.0537,26.0456,25.9686
193.000,26.0914,26.1047,26.0282,26.0749,26.0716
194.000,26.1265,26.0719,26.0052,26.0368,25.9990
195.000,26.1923,26.0382,26.0963,26.1273,25.9664
196.000,26.0182,25.9751,26.0766,26.0526,25.9366
197.000,26.1227,26.1244,26.0411,26.0010,26.0422
198.000,26.0605,26.1482,26.0279,25.9394,25.9546
199.000,26.0383,26.0387,25.9832,26.1110,25.9995
200.000,26.1225,26.0577,26.0255,26.0842,25.9835
201.000,26.0418,26.0643,26.0008,26.0699,26.0453
202.000,25.9236,26.0038,25.9695,25.9090,25.9275
203.000,25.9882,26.0643,26.0353,26.0795,26.0570
204.000,25.9462,25.9737,26.0475,26.0718,25.9815
205.000,25.9203,25.9811,25.9265,25.9968,26.0706
206.000,25.8927,25.9184,25.9892,25.9494,26.0484
207.000,25.9852,25.9466,25.9397,26.1141,25.9409
208.000,25.9875,25.9448,25.9382,26.0237,26.0810
209.000,25.9468,25.9217,25.9779,25.9372,26.0521
210.000,25.9437,25.9545,25.9749,25.9313,26.0124
211.000,25.9809,26.0476,26.0484,25.9690,25.9743
212.000,25.9471,25.9069,26.0195,26.0411,26.0972
213.000,26.0033,26.0462,25.9343,25.9590,26.0428
214.000,25.9396,26.0592,26.0036,25.9732,25.9813
215.000,25.9234,26.0267,26.0641,25.9620,26.0531
216.000,25.9549,26.0821,26.0641,26.0520,26.0451
217.000,25.9540,26.0699,26.0246,25.9338,25.9585
218.000,26.0701,26.0988,26.0238,25.9960,26.0174
219.000,26.0856,26.0261,26.0377,26.0070,26.0652
220.000,25.9726,26.0646,26.0597,26.0065,25.9508
221.000,26.0328,26.0887,26.0795,26.1089,25.9220
222.000,25.9931,26.0540,26.0537,25.9755,25.9425
223.000,26.0543,25.9976,25.9621,25.8716,26.0429
224.000,25.9969,25.9832,26.0493,25.9259,26.0053
225.000,26.0455,26.0108,26.0298,26.0310,25.9646
226.000,25.9724,25.9252,25.9381,26.0238,26.0244
227.000,26.0663,26.0644,25.9550,26.0250,25.9739
228.000,25.9358,25.9245,25.9614,26.1253,26.0841
229.000,25.8889,25.9358,25.8903,26.0400,26.0106
230.000,25.8770,25.9008,26.0520,25.9760,25.9410
231.000,25.8546,25.9796,26.0138,25.9153,26.0517
232.000,25.8838,25.9036,25.9395,25.9496,25.9420
233.000,25.8643,25.9704,25.9334,26.0050,26.0245
234.000,25.9191,25.8577,25.9478,25.9875,26.0418
235.000,25.8548,25.9810,26.0255,25.9262,26.0286
236.000,25.8730,25.8920,25.9713,25.9515,25.9961
237.000,25.9103,25.8499,25.8935,25.8970,26.0150
238.000,25.9203,26.0924,26.0491,26.0103,26.0362
239.000,26.0091,25.9269,26.0764,26.0378,25.9586
240.000,25.9464,26.0318,26.0048,26.0413,26.0354
241.000,25.9197,25.9648,26.0781,25.9787,25.9922
242.000,25.9920,25.9199,25.9920,26.0315,25.9605
243.000,25.9185,25.9745,25.9286,26.0451,26.0334
244.000,25.9157,25.9909,26.0172,26.1282,26.0362
245.000,25.9778,25.9762,26.0101,25.9311,26.0643
246.000,25.9998,26.0732,25.9280,25.9817,26.0092
247.000,26.0242,25.9503,25.9323,26.0132,26.0394
248.000,25.9104,26.0532,25.9277,25.9193,25.9453
249.000,26.0039,25.9674,25.9623,26.0269,25.9508
250.000,25.8818,25.9545,25.9875,26.0742,25.9632
251.000,25.9106,25.9744,26.0023,25.9714,25.9412
252.000,25.9365,25.8395,25.9031,25.9642,25.9891
253.000,25.8999,25.9680,25.9672,25.9568,26.0355
254.000,25.8693,25.9260,25.9014,26.0159,25.9934
255.000,25.9835,25.8896,25.9557,25.9789,25.9736
256.000,25.9138,25.9568,25.9861,25.9542,26.0473
257.000,25.8751,25.9335,25.9200,25.9545,25.9851
258.000,25.9099,25.9366,26.0133,26.0961,26.0185
259.000,25.9195,26.0602,26.0363,25.9640,26.0046
260.000,25.9101,26.0038,25.9195,26.0877,26.0624
261.000,25.9380,25.9874,25.9845,26.0078,25.9601
262.000,25.9509,25.9903,25.9741,26.0607,26.0124
263.000,25.9839,26.1028,26.0483,25.9631,25.9504
264.000,25.9790,25.9572,26.0459,25.9379,26.0571
265.000,26.0822,26.0066,26.0550,25.9944,26.0360
