time_hours,T_2.0m,T_10.0m,T_25.0m,T_45.0m,T_58.0m
0.000,28.0599,27.9916,24.6825,21.9820,22.0205
1.000,28.0212,28.0218,24.6966,22.0886,21.9727
2.000,28.0140,28.0805,24.7473,21.9299,21.9518
3.000,28.0192,27.9767,24.7953,22.0415,21.9263
4.000,28.0708,27.9392,24.7903,22.0262,22.0117
5.000,28.0569,27.9196,24.8269,21.9952,22.0247
6.000,27.9983,27.9275,24.8342,22.1194,22.0606
7.000,28.0535,27.7969,24.8759,22.0777,21.9520
8.000,27.9781,27.8667,24.9261,22.1329,21.9414
9.000,27.9321,27.7858,24.9063,22.1130,22.0494
10.000,27.9916,27.7124,24.9194,22.0528,22.0700
11.000,27.8034,27.6351,24.8876,22.1093,21.9692
12.000,27.8483,27.6229,24.9294,22.1826,21.9614
13.000,27.8107,27.5209,24.9431,22.1940,21.9209
14.000,27.7800,27.5102,24.9619,22.2360,22.0441
15.000,27.7496,27.4212,24.8422,22.1927,22.0236
16.000,27.7516,27.4681,25.0097,22.3465,22.0227
17.000,27.6987,27.3588,24.9240,22.2979,21.9751
18.000,27.6635,27.3567,25.0343,22.2876,22.0657
19.000,27.6351,27.3147,24.9152,22.3035,21.9090
20.000,27.5595,27.4574,25.0380,22.2784,21.9136
21.000,27.5846,27.2715,24.9920,22.4746,22.0012
22.000,27.4435,27.2759,25.0126,22.3189,21.9926
23.000,27.5877,27.3065,24.9081,22.3864,22.0613
24.000,27.6305,27.2263,25.0374,22.4944,22.0000
25.000,27.5688,27.2301,25.0112,22.6255,22.0101
26.000,27.6197,27.2314,25.0568,22.4551,21.9770
27.000,27.4651,27.2442,24.9787,22.5557,22.0595
28.000,27.5080,27.1961,24.9163,22.6104,22.1284
29.000,27.5716,27.1173,24.9981,22.6106,22.1569
30.000,27.5320,27.1238,25.0643,22.6400,22.0106
31.000,27.4842,27.1727,25.0557,22.6160,22.0145
32.000,27.3418,27.1084,24.9657,22.6234,22.0615
33.000,27.4419,27.1350,24.9557,22.6418,22.0172
34.000,27.2885,27.0144,25.1139,22.6720,22.0031
35.000,27.2981,27.0354,24.9639,22.7282,22.0044
36.000,27.2557,26.9347,25.0120,22.6644,21.9851
37.000,27.2199,26.8879,25.1056,22.7266,22.1364
38.000,27.1101,26.9562,25.0266,22.7378,22.1004
39.000,27.0525,26.8356,25.1142,22.7290,22.0462
40.000,27.0360,26.8589,25.0611,22.7122,22.0027
41.000,27.0365,26.7606,25.1199,22.8476,22.0844
42.000,27.0864,26.8819,25.1128,22.7355,22.0947
43.000,26.9649,26.7965,25.0783,22.7954,21.9613
44.000,26.9393,26.7813,25.0556,22.8042,22.0924
45.000,27.0448,26.8083,25.0815,22.8390,22.0773
46.000,27.0152,26.7475,25.1470,22.8874,22.0640
47.000,27.0231,26.7661,25.0863,22.9731,22.0428
48.000,26.9567,26.7252,25.0430,22.7867,22.0695
49.000,27.0469,26.6586,25.1070,22.8732,22.0199
50.000,27.0506,26.6971,25.1252,22.8391,22.0475
51.000,26.9789,26.7984,25.0974,22.8548,22.1908
